Origin_Date,Current_Price,Current_Open,Current_High,Current_Low,Current_Volume,Price_Lag1,Price_Lag2,Current_CHG,MA_7,MA_30,Volatility_7,Volatility_30,Momentum_7,Momentum_30,USD_Index_Return_Lag1,US10Y_Real_Yield_Change_Lag1,Target_Date,Target_Next_Return,Target_Next_Price,Split
2014-02-11,29670,29500,29700,29500,14740,29471.0,29310.0,0.006752400665060554,29532.0,29415.266666666666,0.00972406683347022,0.007742363840511268,0.006376772267824515,0.004332814298287246,-0.00028286244125053095,-0.020000000000000018,2014-02-12,0.0009437141894168555,29698.0,Train
2014-02-12,29698,29650,29724,29580,10770,29670.0,29471.0,0.0009437141894168555,29519.0,29406.033333333333,0.008803114668101134,0.007246692795029056,-0.0030548188928799513,-0.009241034195162645,-0.0008572734691809636,0.050000000000000044,2014-02-13,0.000942824432621725,29726.0,Train
2014-02-13,29726,29660,29748,29605,12470,29698.0,29670.0,0.000942824432621725,29546.428571428572,29406.0,0.008034819123728049,0.007089968869273532,0.006500981919143944,-3.363945234968746e-05,-0.00017751910707874963,0.029999999999999916,2014-02-14,0.00692996030411086,29932.0,Train
2014-02-14,29932,29750,29949,29750,11850,29726.0,29698.0,0.00692996030411086,29576.85714285714,29427.766666666666,0.008111749596768494,0.006595479958589101,0.0071671321376896024,0.022302674271662326,-0.00017751910707874963,-0.029999999999999916,2014-02-17,0.02445543231324332,30664.0,Train
2014-02-17,30664,29978,30731,29970,27800,29932.0,29726.0,0.02445543231324332,29781.571428571428,29479.266666666666,0.00815248393911315,0.007778397620870937,0.04902329718449594,0.05305814073285475,-0.003696857670979714,0.029999999999999916,2014-02-18,0.00332637620662668,30766.0,Train
2014-02-18,30766,30600,30790,30511,18180,30664.0,29932.0,0.00332637620662668,29989.571428571428,29539.5,0.008102359284644133,0.0076607753519924845,0.04967587853974753,0.062398563486308234,-0.003696857670979714,0.029999999999999916,2014-02-19,-0.0017551842943509532,30712.0,Train
2014-02-19,30712,30686,30865,30405,20720,30766.0,30664.0,-0.0017551842943509532,30166.85714285714,29598.766666666666,0.008760163067100663,0.007674181801248628,0.04210919208713659,0.06145019700006915,-0.0008242186629837667,-0.020000000000000018,2014-02-20,-0.0033862985152383063,30608.0,Train
2014-02-20,30608,30680,30680,30507,12460,30712.0,30766.0,-0.0033862985152383063,30300.85714285714,29652.466666666667,0.009417384757334862,0.007737171385778839,0.03161442534546688,0.05555747146256507,0.001981030518061866,0.030000000000000027,2014-02-21,0.0022543125980136747,30677.0,Train
2014-02-21,30677,30590,30749,30522,12330,30608.0,30712.0,0.0022543125980136747,30440.714285714286,29702.733333333334,0.009347812072715497,0.007699030489618527,0.03296518284059524,0.05169872124515762,0.0029360033905487803,0.030000000000000027,2014-02-24,0.0081494279101606,30927.0,Train
2014-02-24,30927,30633,30975,30633,12900,30677.0,30608.0,0.0081494279101606,30612.285714285714,29756.566666666666,0.00926395706490366,0.007767968456759222,0.04040234138464638,0.055096888646288145,0.0029360033905487803,-0.020000000000000018,2014-02-25,0.001455039286060833,30972.0,Train
2014-02-25,30972,30929,30999,30817,12760,30927.0,30677.0,0.001455039286060833,30760.85714285714,29815.7,0.00937430868991844,0.007693485108991461,0.03474542295870631,0.06075758613603677,-0.00267174887039634,-0.020000000000000018,2014-02-26,-0.005230530802014743,30810.0,Train
2014-02-26,30810,30951,30969,30677,14740,30972.0,30927.0,-0.005230530802014743,30781.714285714286,29871.033333333333,0.004532726983883348,0.0077793949071397455,0.004761283589877374,0.05694682675814744,0.0007340775092632423,-0.039999999999999925,2014-02-27,0.0009412528399870279,30839.0,Train
2014-02-27,30839,30884,30917,30788,4410,30810.0,30972.0,0.0009412528399870279,30792.14285714286,29926.733333333334,0.00438866259921189,0.007777811786967496,0.002372749138659591,0.05728880965441574,0.0031956051167787436,-0.040000000000000036,2014-02-28,-0.006647426959369596,30634.0,Train
2014-02-28,30634,30820,30895,30567,16200,30839.0,30810.0,-0.006647426959369596,30781.0,29968.366666666665,0.0051095411832362,0.007855920037441526,-0.0025397238864287575,0.042504679258124956,-0.001088890155040212,-0.020000000000000018,2014-03-03,0.04625579421557746,32051.0,Train
2014-03-03,32051,30700,32279,30700,5670,30634.0,30839.0,0.04625579421557746,30987.14285714286,30056.266666666666,0.018109292996458748,0.011343628462939312,0.04714453737584945,0.08965118650982529,-0.003002993487000394,0.0,2014-03-04,-0.02886025397023495,31126.0,Train
2014-03-04,31126,31500,32379,31090,1310,32051.0,30634.0,-0.02886025397023495,31051.285714285714,30115.066666666666,0.022644404691180557,0.01272465961759572,0.014636372526648733,0.0600776513861454,-0.003002993487000394,-0.04999999999999999,2014-03-05,0.03935616526376662,32351.0,Train
2014-03-05,32351,31200,32500,30770,1490,31126.0,32051.0,0.03935616526376662,31254.714285714286,30217.8,0.026698196693865858,0.014386351365057292,0.04604390985223272,0.10529912193788649,0.0028488821130674413,0.08000000000000002,2014-03-06,-0.05981267966987114,30416.0,Train
2014-03-06,30416,30350,30446,30105,21500,32351.0,31126.0,-0.05981267966987114,31175.285714285714,30251.866666666665,0.036840691109970236,0.018444297134193415,-0.017951698308149244,0.034769000476287726,-0.0019956305305059985,0.0,2014-03-07,-0.00358364018937396,30307.0,Train
2014-03-07,30307,30361,30514,30130,19380,30416.0,32351.0,-0.00358364018937396,31103.428571428572,30276.3,0.03682187338970415,0.018442003942106586,-0.016325868224602358,0.024785284371407368,-0.005103320810561085,0.010000000000000009,2014-03-10,0.0006599135513247756,30327.0,Train
2014-03-10,30327,30253,30350,30145,13500,30307.0,30416.0,0.0006599135513247756,31030.285714285714,30290.366666666665,0.03681858134148331,0.018340902144409425,-0.016602354161937782,0.014111352616619222,0.0028451106443740937,0.039999999999999925,2014-03-11,0.0030995482573283883,30421.0,Train
2014-03-11,30421,30301,30515,30166,23170,30327.0,30307.0,0.0030995482573283883,30999.85714285714,30316.8,0.03678920393203581,0.01824960241961598,-0.006953058692955594,0.02676522208721477,0.0012721053502691149,0.0,2014-03-12,0.006771638013214565,30627.0,Train
2014-03-12,30627,30468,30690,30468,19020,30421.0,30327.0,0.006771638013214565,30796.428571428572,30343.2,0.031015232030428764,0.018247229909071485,-0.044429190976880584,0.026546003016591158,0.0001472877334749434,0.0,2014-03-13,0.002285565024324976,30697.0,Train
2014-03-13,30697,30677,30735,30492,15380,30627.0,30421.0,0.002285565024324976,30735.14285714286,30383.133333333335,0.029389434605829066,0.018099430751727378,-0.013782689712780294,0.040611546154107,0.0007946009514021579,-0.029999999999999916,2014-03-14,0.0007166824119619886,30719.0,Train
